,EventId,EventTemplate
0,9a640663,<*> (root) CMD (/home/#1#/bin/grab_myrinet_info &>/dev/null)
1,fa9c45af,<*> (root) CMD (test -x <*> && <*> cron)
2,03badb70,<*> LAuS error - <*> - <*> (19) <*> No such device
3,669e1ffc,dhcpd: DHCPDISCOVER from <*> via <*> network <*> no free leases
4,7b933a56,kernel: hda: drive not ready for command
5,b4b7c412,kernel: hda: status error: status=0x00 { }
6,f101763d,"<*> <*> from=root, <*> class=0, nrcpts=1, <*> relay=#2#@localhost"
7,21b6f909,<*> <*> <*> <*> <*> stat=Deferred: Connection refused by [<*>]
8,95916013,<*> unable to qualify my own domain name <*> -- using short name
9,3c577f9b,<*> My unqualified host name <*> unknown; sleeping for retry
10,c3991175,<*> conversion of '-u' to float not complete: tail '-u'
11,6c6f7618,<*> (root) CMD (run-parts <*>
12,db91c3d1,<*> STATS: dropped <*>
13,e98fe941,last message repeated <*> times
14,6e94b18e,<*> connection from <*>
15,34c50489,rpc.mountd: authenticated <*> request from <*> for <*> <*>
16,8dc1ce30,<*> Now running on <*> privileges.
17,cd11af47,<*> Kerberos password <*> for user <*> <*>
18,1244424d,<*> Password authentication for user <*> accepted.
19,f05b0da3,<*> User <*> coming from <*> authenticated.
20,c1256636,<*> session closed for user <*>
21,8fbc6c52,<*> session opened for user <*> by <*>
22,eac18c21,<*> Accepted <*> for <*> from <*> port <*> ssh2
23,5c75b6a3,"pbs_mom: tm_eof, matching task located, marking interface closed"
24,06b4493b,<*> Local disconnected: Connection <*>
25,7f959984,<*> connection lost: 'Connection <*>
26,66e56dcb,kernel: GM: trying to register an already locked page:OK
27,bcbfc6a4,<*> (root) CMD (<*> <*> <*> 2>&1)
28,1baacfaa,kernel: (see the NOTES section of 'man 2 wait'). Workaround activated.
29,25a5dd56,kernel: application bug: <*> has SIGCHLD set to SIG_IGN but calls wait().
30,e03a51b6,kernel: GM: <*> <*>
31,3d19c6d6,kernel: GM: There are <*> active subports for port <*> at close.
32,25d6a22d,"pbs_mom: im_request, <*> non-zero exit status reported from node <*> <*>"
33,0af75451,"pbs_mom: task_check, cannot tm_reply to <*> task 1"
34,01def912,"pbs_mom: tm_eof, no matching task found"
35,9b950319,<*> illegal attempt to update using time <*> when last update time is <*> (minimum one second step)
36,74fc123a,<*> (#7#) CMD (csh -c <*> > <*> 2>&1)
37,cba65e96,<*> Remote host disconnected: Server host key changed
38,b6cb10ae,<*> connection lost: 'Server host key changed'
39,e3aa0816,postfix<*>
40,3fe62d04,"<*> <*> <*> orig_to=<root>, relay=local, <*> status=sent (forwarded as <*>"
41,d15da1d3,"<*> <*> from=<#2#@#11#>, <*> nrcpt=1 (queue active)"
42,6db6e950,<*> <*> uid=0 from=<root>
43,d3720a9a,postfix<*> <*> Message accepted for delivery)
44,85d1d79e,"postfix<*> orig_to=<root>, relay=local, <*> status=sent (forwarded as <*>"
45,5fe67f15,sshd[3874]: <*> <*> <*> closed by remote <*>
46,600da629,sshd[31673]: <*> <*> <*> closed by remote <*>
47,c130f1ba,dhcpd: <*> <*> <*> <*> 00:60:dd:48:85:c9 via eth1
48,32c28a46,dhcpd: <*> <*> <*> <*> 00:60:dd:48:85:d1 via eth1
49,0e077519,dhcpd: <*> <*> <*> <*> 00:60:dd:48:85:b9 via eth1
50,98885226,dhcpd: <*> <*> <*> <*> 00:60:dd:48:85:d0 via eth1
51,00bcb758,dhcpd: <*> <*> <*> <*> 00:60:dd:48:85:c5 via eth1
52,e8a84126,dhcpd: <*> <*> <*> <*> 00:60:dd:48:85:cc via eth1
53,79d3ba1c,<*> Remote host disconnected: Done with connection
54,3d9cc837,<*> disconnected by application in remote: 'Done with connection'
55,89066705,sshd[5298]: <*> <*> <*> closed by remote <*>
56,05521ca2,sshd[605]: <*> <*> <*> closed by remote <*>
57,b1c8ef99,"<*> WARNING: hpasmd: Corrected Memory Error threshold exceeded (System Memory, Memory Module <*>"
58,bc45b820,<*> Public key <*> used.
59,4c2444da,<*> Public key authentication for user <*> accepted.
60,dd86c908,xinetd[2228]: START: <*> <*> from=<*>
61,d6db2339,gmond: gmond <*> <*>
62,5f4bb6f4,"<*> <*> from=<#2#@#11#>, <*> nrcpt=4 (queue active)"
63,c7d76543,<*> X11 connection from <*> <*>
64,1b8f1769,kernel:
65,598232e0,kernel: <*>
66,4c426aee,kernel: <*> freepages: <*> min: <*> low: <*> high: <*>
67,97c67ead,kernel: <*> <*> id:0 il:0 ic:0 <*>
68,8cd78121,kernel: aa:474701 ac:3915 id:8208 il:1 ic:0 fr:1277
69,8542282b,kernel: ( Active: <*> inactive_laundry: <*> inactive_clean: <*> free: <*> )
70,ae62ddc8,kernel: 1*4kB <*> <*> <*> <*> <*> 1*256kB <*> <*> 0*2048kB 0*4096kB = 5108kB)
71,b91e64cf,kernel: 1*4kB 1*8kB <*> <*> <*> <*> <*> <*> <*> 1*2048kB 0*4096kB = 4220kB)
72,e8e212d4,kernel: <*> pages of kernel stacks
73,047f9cb2,"kernel: <*> lowmem pagetables, 0 highmem pagetables"
74,c8cfc5f5,kernel: <*> pages of <*>
75,31357132,kernel: Free pages: <*> ( 0 HighMem)
76,426794f8,kernel: Free swap: <*>
77,48279934,kernel: Swap cache: add <*> delete <*> find <*> race <*>
78,58cfdc5a,"kernel: <*> <*> buffers, <*> kbyte, <*> used <*> <*> locked, <*> dirty 0 delay"
79,bac8c951,kernel: <*> pages swap cached
80,36726116,kernel: <*> <*> pages
81,e257a9b0,kernel: <*> pages shared
82,dfad2d43,kernel: <*> memory: <*>
83,52ff8815,kernel: Out of Memory: Killed process <*> <*>
84,7c81e096,kernel: aa:482526 ac:4035 id:310 il:69 ic:0 fr:1277
85,b11cf4cd,kernel: <*> <*> <*> il:0 ic:0 fr:1277
86,93837e51,kernel: aa:458443 ac:3835 id:261 il:117 ic:0 fr:1276
87,055f100e,kernel: 2*4kB 1*8kB <*> <*> <*> <*> <*> <*> 0*1024kB 0*2048kB 0*4096kB = <*>
88,33488c7b,kernel: GM: Could not open port because LANai is not running.
89,5a9cbfe9,sshd[2333]: <*> <*> <*> closed by remote <*>
90,2d897a08,sudo: <*> : <*> ; <*> ; USER=root ; <*> <*>
91,c6c88b7e,sshd[7720]: <*> <*> <*> closed by remote <*>
92,88bc71dd,kernel: GM: gm_linux_kvirt_to_phys: PTE not present
